           AURemoteIO.cpp:1091  failed: 561015905 (enable 3, outf< 1 ch,  48000 Hz, Int16> inf< 1 ch,  48000 Hz, Int16>)
           AURemoteIO.cpp:1091  failed: 561015905 (enable 3, outf< 1 ch,  48000 Hz, Int16> inf< 1 ch,  48000 Hz, Int16>)
           AURemoteIO.cpp:1091  failed: 561015905 (enable 3, outf< 1 ch,  48000 Hz, Int16> inf< 1 ch,  48000 Hz, Int16>)
flutter: 🎯 Target Bitrate: 983.2 kbps | 📡 Current Bitrate: 0.00 kbps
flutter: 🎯 Target Bitrate: 983.2 kbps | 📡 Current Bitrate: 0.00 kbps
App is being debugged, do not track this hang
Hang detected: 0.25s (debugger attached, not reporting)
flutter: 🎯 Target Bitrate: 983.2 kbps | 📡 Current Bitrate: 0.00 kbps
flutter: 🎯 Target Bitrate: 980.579 kbps | 📡 Current Bitrate: 647.77 kbps
flutter: 🎯 Target Bitrate: 1172.541 kbps | 📡 Current Bitrate: 1085.69 kbps
flutter: 🎯 Target Bitrate: 2024.759 kbps | 📡 Current Bitrate: 1135.90 kbps
flutter: 🎯 Target Bitrate: 3463.947 kbps | 📡 Current Bitrate: 2245.99 kbps
flutter: 🎯 Target Bitrate: 6166.186 kbps | 📡 Current Bitrate: 5417.32 kbps
flutter: 🎯 Target Bitrate: 6202.757 kbps | 📡 Current Bitrate: 5353.33 kbps
flutter: 🎯 Target Bitrate: 6230.667 kbps | 📡 Current Bitrate: 6709.94 kbps
flutter: 🎯 Target Bitrate: 6292.197 kbps | 📡 Current Bitrate: 6492.28 kbps
flutter: 🎯 Target Bitrate: 6331.408 kbps | 📡 Current Bitrate: 6792.38 kbps
flutter: 🎯 Target Bitrate: 6368.281 kbps | 📡 Current Bitrate: 6570.20 kbps
flutter: 🎯 Target Bitrate: 6418.738 kbps | 📡 Current Bitrate: 6090.79 kbps
flutter: 🎯 Target Bitrate: 6457.113 kbps | 📡 Current Bitrate: 5604.05 kbps
flutter: 🎯 Target Bitrate: 6494.575 kbps | 📡 Current Bitrate: 5712.69 kbps
flutter: 🎯 Target Bitrate: 6544.335 kbps | 📡 Current Bitrate: 5862.35 kbps
flutter: 🎯 Target Bitrate: 6582.082 kbps | 📡 Current Bitrate: 5651.14 kbps
flutter: 🎯 Target Bitrate: 6620.005 kbps | 📡 Current Bitrate: 5720.74 kbps
flutter: 🎯 Target Bitrate: 6670.6 kbps | 📡 Current Bitrate: 6052.17 kbps
flutter: 🎯 Target Bitrate: 6709.769 kbps | 📡 Current Bitrate: 5930.16 kbps
flutter: 🎯 Target Bitrate: 6747.97 kbps | 📡 Current Bitrate: 5976.52 kbps
flutter: 🎯 Target Bitrate: 6798.051 kbps | 📡 Current Bitrate: 5905.84 kbps
flutter: 🎯 Target Bitrate: 6835.376 kbps | 📡 Current Bitrate: 6414.84 kbps
flutter: 🎯 Target Bitrate: 6873.174 kbps | 📡 Current Bitrate: 6081.74 kbps
flutter: 🎯 Target Bitrate: 6924.707 kbps | 📡 Current Bitrate: 5980.71 kbps
flutter: 🎯 Target Bitrate: 6962.885 kbps | 📡 Current Bitrate: 6068.59 kbps
flutter: 🎯 Target Bitrate: 7000.219 kbps | 📡 Current Bitrate: 6379.98 kbps
flutter: 🎯 Target Bitrate: 7050.308 kbps | 📡 Current Bitrate: 6141.55 kbps
flutter: 🎯 Target Bitrate: 7087.791 kbps | 📡 Current Bitrate: 6263.46 kbps
flutter: 🎯 Target Bitrate: 7124.356 kbps | 📡 Current Bitrate: 6320.30 kbps
flutter: 🎯 Target Bitrate: 7175.248 kbps | 📡 Current Bitrate: 6279.57 kbps
flutter: 🎯 Target Bitrate: 7213.697 kbps | 📡 Current Bitrate: 6595.96 kbps
flutter: 🎯 Target Bitrate: 7251.998 kbps | 📡 Current Bitrate: 6335.50 kbps
flutter: 🎯 Target Bitrate: 7303.91 kbps | 📡 Current Bitrate: 6325.69 kbps
flutter: 🎯 Target Bitrate: 7341.337 kbps | 📡 Current Bitrate: 6634.53 kbps
flutter: 🎯 Target Bitrate: 7593.518 kbps | 📡 Current Bitrate: 6645.93 kbps
flutter: 🎯 Target Bitrate: 8335.459 kbps | 📡 Current Bitrate: 7121.18 kbps
flutter: 🎯 Target Bitrate: 8936.394 kbps | 📡 Current Bitrate: 8065.90 kbps
flutter: 🎯 Target Bitrate: 9581.758 kbps | 📡 Current Bitrate: 8102.18 kbps
flutter: 🎯 Target Bitrate: 10516.219 kbps | 📡 Current Bitrate: 8839.62 kbps
flutter: 🎯 Target Bitrate: 11273.587 kbps | 📡 Current Bitrate: 9969.70 kbps
flutter: 🎯 Target Bitrate: 12085.849 kbps | 📡 Current Bitrate: 10383.28 kbps
flutter: 🎯 Target Bitrate: 13261.368 kbps | 📡 Current Bitrate: 11312.66 kbps
flutter: 🎯 Target Bitrate: 14217.731 kbps | 📡 Current Bitrate: 12682.14 kbps
flutter: 🎯 Target Bitrate: 15241.428 kbps | 📡 Current Bitrate: 13122.47 kbps
flutter: 🎯 Target Bitrate: 16721.103 kbps | 📡 Current Bitrate: 14037.74 kbps
flutter: 🎯 Target Bitrate: 17925.805 kbps | 📡 Current Bitrate: 15690.31 kbps
flutter: 🎯 Target Bitrate: 19214.536 kbps | 📡 Current Bitrate: 16756.25 kbps
flutter: 🎯 Target Bitrate: 21084.394 kbps | 📡 Current Bitrate: 18237.06 kbps
flutter: 🎯 Target Bitrate: 22600.006 kbps | 📡 Current Bitrate: 19661.22 kbps
flutter: 🎯 Target Bitrate: 24222.308 kbps | 📡 Current Bitrate: 21260.56 kbps
flutter: 🎯 Target Bitrate: 26573.502 kbps | 📡 Current Bitrate: 21829.89 kbps
flutter: 🎯 Target Bitrate: 28044.89 kbps | 📡 Current Bitrate: 24463.38 kbps
flutter: 🎯 Target Bitrate: 30063.476 kbps | 📡 Current Bitrate: 26339.04 kbps
