
Timestamp,target_bitrate,current_bitrate
bandwidth_marks = [
flutter: 2025-06-10T00:56:56.615927,16285.02,10810.23
flutter: 2025-06-10T00:56:57.616990,17457.786,12243.13
flutter: 2025-06-10T00:56:58.617260,18650.997,12549.92
flutter: 2025-06-10T00:56:59.616896,20530.875,13561.97
flutter: 2025-06-10T00:57:00.613657,21839.27,14937.84
flutter: 2025-06-10T00:57:01.613117,23407.73,15909.02
flutter: 2025-06-10T00:57:02.613434,25679.626,17220.36
flutter: 2025-06-10T00:57:03.612811,27388.812,18787.64
flutter: 2025-06-10T00:57:04.613930,29343.066,20530.33
flutter: 2025-06-10T00:57:05.613557,31956.727,21308.64
flutter: 2025-06-10T00:57:06.612356,33491.484,23541.37
flutter: 2025-06-10T00:57:07.612076,35667.004,24317.79
flutter: 2025-06-10T00:57:08.615997,39118.698,26354.36
flutter: 2025-06-10T00:57:09.613464,40324.735,28288.19
flutter: 2025-06-10T00:57:10.614399,39647.683,27457.75
flutter: 2025-06-10T00:57:11.614826,44545.495,30136.57
flutter: 2025-06-10T00:57:12.613121,46772.421,33091.47
flutter: 2025-06-10T00:57:13.614229,49841.375,32934.46
flutter: 2025-06-10T00:57:14.612727,49887.96,34953.12
flutter: 2025-06-10T00:57:15.613876,55076.881,37617.13
flutter: 2025-06-10T00:57:16.612991,54251.718,38928.96
flutter: 2025-06-10T00:57:17.612654,58486.23,40939.47
flutter: 2025-06-10T00:57:18.616714,6456.349,38330.53
flutter: 2025-06-10T00:57:19.615215,1358.086,3148.96
flutter: 2025-06-10T00:57:20.615971,491.6,1711.48
flutter: 2025-06-10T00:57:21.614635,491.6,1991.39
flutter: 2025-06-10T00:57:22.614280,667.758,1049.72
flutter: 2025-06-10T00:57:23.614168,983.2,1015.39
flutter: 2025-06-10T00:57:24.613776,983.184,1010.59
flutter: 2025-06-10T00:57:25.613413,1136.521,1118.49
flutter: 2025-06-10T00:57:26.612979,1136.521,820.25
flutter: 2025-06-10T00:57:27.613386,1495.925,961.37
flutter: 2025-06-10T00:57:28.613032,2571.105,1385.03
flutter: 2025-06-10T00:57:29.613824,4387.282,2183.66
flutter: 2025-06-10T00:57:30.614071,5721.295,3574.00
flutter: 2025-06-10T00:57:31.613723,9710.402,5415.62
flutter: 2025-06-10T00:57:32.615057,16453.346,9259.31
flutter: 2025-06-10T00:57:33.614299,27848.012,16295.94
